2026-07-19T08:53:32+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 5792     1 analyst  S     0.3  0.0  1560    1       00:23 agent-leak-app-
 5802     1 analyst  S     0.1  0.0  4396    1       00:23 top
 5801     1 analyst  S     0.0  0.0  2740    1       00:23 bash
 5803     1 analyst  S     0.0  0.0  2032    1       00:23 bash
    1     0 analyst  Ss    0.0  0.0  3296    1    17:33:11 bash
 6075  5803 analyst  R     0.0  0.0  3848    1       00:00 ps
 6076  5803 analyst  S     0.0  0.0  1052    1       00:00 head
 6077  5801 analyst  R     0.0  0.0   632    1       00:00 awk
2026-07-19T08:53:56+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 5797  5792 analyst  SN    0.9  0.2 16760    1       00:24 agent-leak-app-
 5792     1 analyst  S     0.3  0.0  1560    1       00:24 agent-leak-app-
 5802     1 analyst  S     0.1  0.0  4396    1       00:24 top
 5801     1 analyst  S     0.0  0.0  2740    1       00:24 bash
 5803     1 analyst  S     0.0  0.0  2032    1       00:24 bash
    1     0 analyst  Ss    0.0  0.0  3296    1    17:33:12 bash
 6090     1 analyst  S+    0.0  0.0  2716    1       00:00 bash
 6097  6090 analyst  S+    0.0  0.0  4392    1       00:00 top
 6100  5803 analyst  R     0.0  0.0  3864    1       00:00 ps
 6101  5803 analyst  S     0.0  0.0  1052    1       00:00 head
2026-07-19T08:53:57+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 5797  5792 analyst  SN    0.9  0.2 16760    1       00:25 agent-leak-app-
 5792     1 analyst  S     0.3  0.0  1560    1       00:25 agent-leak-app-
 5802     1 analyst  S     0.1  0.0  4396    1       00:25 top
 5801     1 analyst  R     0.0  0.0  2740    1       00:25 bash
 5803     1 analyst  S     0.0  0.0  2032    1       00:25 bash
    1     0 analyst  Ss    0.0  0.0  3296    1    17:33:13 bash
 6106     1 analyst  S+    0.0  0.0  1108    1       00:00 sleep
 6109  5803 analyst  R     0.0  0.0  3864    1       00:00 ps
 6110  5803 analyst  S     0.0  0.0  1056    1       00:00 head
2026-07-19T08:53:58+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 5797  5792 analyst  SN    0.8  0.2 16760    1       00:26 agent-leak-app-
 5792     1 analyst  S     0.3  0.0  1560    1       00:26 agent-leak-app-
 5801     1 analyst  S     0.1  0.0  2740    1       00:26 bash
 5802     1 analyst  S     0.1  0.0  4396    1       00:26 top
 5803     1 analyst  S     0.0  0.0  2032    1       00:26 bash
    1     0 analyst  Ss    0.0  0.0  3296    1    17:33:14 bash
 6115     1 analyst  S+    0.0  0.0  1108    1       00:00 sleep
 6118  5803 analyst  R     0.0  0.0  3864    1       00:00 ps
 6119  5803 analyst  S     0.0  0.0  1052    1       00:00 head
2026-07-19T08:53:59+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 5797  5792 analyst  SN    1.0  0.2 16760    1       00:27 agent-leak-app-
 5792     1 analyst  S     0.2  0.0  1560    1       00:27 agent-leak-app-
 5801     1 analyst  S     0.1  0.0  2740    1       00:27 bash
 5802     1 analyst  S     0.1  0.0  4396    1       00:27 top
 5803     1 analyst  S     0.0  0.0  2032    1       00:27 bash
    1     0 analyst  Ss    0.0  0.0  3296    1    17:33:15 bash
 6124     1 analyst  S+    0.0  0.0  1108    1       00:00 sleep
 6126  5801 analyst  R     0.0  0.0  3732    1       00:00 ps
 6127  5803 analyst  R     0.0  0.0  3864    1       00:00 ps
 6128  5803 analyst  S     0.0  0.0  1040    1       00:00 head
2026-07-19T08:54:00+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 5797  5792 analyst  SN    0.9  0.2 16760    1       00:28 agent-leak-app-
 5792     1 analyst  S     0.2  0.0  1560    1       00:28 agent-leak-app-
 5801     1 analyst  S     0.1  0.0  2740    1       00:28 bash
 5802     1 analyst  S     0.1  0.0  4396    1       00:28 top
 5803     1 analyst  S     0.0  0.0  2032    1       00:28 bash
    1     0 analyst  Ss    0.0  0.0  3296    1    17:33:16 bash
 6133     1 analyst  S+    0.0  0.0  1096    1       00:00 sleep
 6136  5803 analyst  R     0.0  0.0  3860    1       00:00 ps
 6137  5803 analyst  S     0.0  0.0  1052    1       00:00 head
2026-07-19T08:54:01+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 5797  5792 analyst  SN    0.9  0.2 16760    1       00:29 agent-leak-app-
 5792     1 analyst  S     0.2  0.0  1560    1       00:29 agent-leak-app-
 5801     1 analyst  S     0.1  0.0  2740    1       00:29 bash
 5802     1 analyst  S     0.1  0.0  4396    1       00:29 top
 5803     1 analyst  S     0.0  0.0  2032    1       00:29 bash
    1     0 analyst  Ss    0.0  0.0  3296    1    17:33:17 bash
 6142     1 analyst  S+    0.0  0.0  1108    1       00:00 sleep
 6145  5803 analyst  R     0.0  0.0  3852    1       00:00 ps
 6146  5803 analyst  S     0.0  0.0  1052    1       00:00 head
2026-07-19T08:54:02+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 5792     1 analyst  R     0.2  0.0  1620    1       00:30 agent-leak-app-
 5801     1 analyst  S     0.0  0.0  2744    1       00:30 bash
 5802     1 analyst  S     0.0  0.0  4396    1       00:30 top
 5803     1 analyst  S     0.0  0.0  2032    1       00:30 bash
    1     0 analyst  Ss    0.0  0.0  3296    1    17:33:18 bash
 6151     1 analyst  S+    0.0  0.0  1104    1       00:00 sleep
 6154  5803 analyst  R     0.0  0.0  3860    1       00:00 ps
 6155  5803 analyst  S     0.0  0.0  1048    1       00:00 head
 6156  5801 analyst  Z     0.0  0.0     0    1       00:00 date
